2026-06-23 09:48:00.485 Uvicorn server started on 0.0.0.0:8501

  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://192.168.68.59:8501
  External URL: http://173.79.85.196:8501

  For better performance, install the Watchdog module:

  $ xcode-select --install
  $ pip install watchdog
            
09:48:03 | INFO     | celo_trader | logging_initialised
10:03:41 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 33 bars for 2026-06-23 (extended_live=True)
10:03:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:45 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:45 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:45 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:45 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:46 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 33 bars for 2026-06-23 (extended_live=True)
10:04:16 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:04:16 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:04:16 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 34 bars for 2026-06-23 (extended_live=True)
10:05:16 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:05:16 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:05:16 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 7 bars for 2026-06-23 (extended_live=True)
10:05:17 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 35 bars for 2026-06-23 (extended_live=True)
10:06:07 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:06:07 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:06:08 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 36 bars for 2026-06-23 (extended_live=True)
10:06:38 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:06:38 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:06:38 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 8 bars for 2026-06-23 (extended_live=True)
10:06:39 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 36 bars for 2026-06-23 (extended_live=True)
10:06:51 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:06:51 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:06:51 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 36 bars for 2026-06-23 (extended_live=True)
10:07:21 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:07:21 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:07:22 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 37 bars for 2026-06-23 (extended_live=True)
10:07:52 | INFO     | celo_trader | logging_initialised
10:07:52 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:07:52 | INFO     | celo_trader.database | backfill_daily_summaries: synced 7 date(s)
10:07:53 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 8 bars for 2026-06-23 (extended_live=True)
10:07:53 | WARNING  | celo_trader.dashboard | Pre-market yfinance prepend failed for NFLX: No module named 'yfinance'
10:07:53 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 37 bars for 2026-06-23 (extended_live=True)
10:08:23 | INFO     | celo_trader | logging_initialised
10:08:23 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:08:23 | INFO     | celo_trader.database | backfill_daily_summaries: synced 7 date(s)
10:08:33 | WARNING  | celo_trader.broker | alpaca_http_get
10:08:33 | WARNING  | celo_trader.broker | ConnectionError — not retrying (network issue): HTTPSConnectionPool(host='paper-api.alpaca.markets', port=443): Max retries exceeded with url: /v2/account (Caused by ConnectTimeoutError(<HTTPSConnection(host='paper-api.alpaca.markets', port=443) at 0x116e02fd0>, 'Connection to paper-api.alpaca.markets timed out. (connect timeout=10)'))
10:08:33 | ERROR    | celo_trader.broker | alpaca_get_failed
10:08:33 | WARNING  | celo_trader.dashboard | Pre-market yfinance prepend failed for NFLX: No module named 'yfinance'
10:08:33 | WARNING  | celo_trader.broker | alpaca_http_get
10:08:33 | WARNING  | celo_trader.broker | ConnectionError — not retrying (network issue): HTTPSConnectionPool(host='paper-api.alpaca.markets', port=443): Max retries exceeded with url: /v2/clock (Caused by NameResolutionError("HTTPSConnection(host='paper-api.alpaca.markets', port=443): Failed to resolve 'paper-api.alpaca.markets' ([Errno 8] nodename nor servname provided, or not known)"))
10:08:33 | ERROR    | celo_trader.broker | alpaca_get_failed
10:08:33 | WARNING  | celo_trader.broker | is_market_open check failed: HTTPSConnectionPool(host='paper-api.alpaca.markets', port=443): Max retries exceeded with url: /v2/clock (Caused by NameResolutionError("HTTPSConnection(host='paper-api.alpaca.markets', port=443): Failed to resolve 'paper-api.alpaca.markets' ([Errno 8] nodename nor servname provided, or not known)")) — assuming closed
10:08:33 | WARNING  | celo_trader.broker | alpaca_http_get
10:08:33 | WARNING  | celo_trader.broker | ConnectionError — not retrying (network issue): HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v2/stocks/NFLX/bars?timeframe=1Min&start=2026-06-23T04%3A00%3A00-04%3A00&end=2026-06-23T10%3A08%3A33.194258-04%3A00&limit=1000&adjustment=split&feed=iex (Caused by NameResolutionError("HTTPSConnection(host='data.alpaca.markets', port=443): Failed to resolve 'data.alpaca.markets' ([Errno 8] nodename nor servname provided, or not known)"))
10:08:33 | WARNING  | celo_trader.broker | alpaca_circuit_open: 3 consecutive connection failures — pausing Alpaca calls for 60s
10:08:33 | ERROR    | celo_trader.broker | alpaca_get_failed
10:08:33 | ERROR    | celo_trader.broker | get_session_bars(NFLX, 1Min) failed: HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v2/stocks/NFLX/bars?timeframe=1Min&start=2026-06-23T04%3A00%3A00-04%3A00&end=2026-06-23T10%3A08%3A33.194258-04%3A00&limit=1000&adjustment=split&feed=iex (Caused by NameResolutionError("HTTPSConnection(host='data.alpaca.markets', port=443): Failed to resolve 'data.alpaca.markets' ([Errno 8] nodename nor servname provided, or not known)")) — trying 2-day window
10:08:33 | WARNING  | celo_trader.broker | 2-day bars fetch failed for NFLX: alpaca circuit open until 1782223773 — skipping https://data.alpaca.markets/v2/stocks/NFLX/bars — using limit fetch
10:08:33 | ERROR    | celo_trader.broker | get_bars(NFLX, 1Min) failed: alpaca circuit open until 1782223773 — skipping https://data.alpaca.markets/v2/stocks/NFLX/bars
10:08:33 | ERROR    | celo_trader.broker | get_bars(NFLX, 1Min) failed: alpaca circuit open until 1782223773 — skipping https://data.alpaca.markets/v2/stocks/NFLX/bars
10:08:56 | WARNING  | celo_trader.broker | alpaca_http_get
10:08:56 | WARNING  | celo_trader.broker | ConnectionError — not retrying (network issue): HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v2/stocks/snapshots?symbols=SPY%2CQQQ%2CAAPL%2CNVDA%2CTSLA%2CAMC&feed=iex (Caused by NameResolutionError("HTTPSConnection(host='data.alpaca.markets', port=443): Failed to resolve 'data.alpaca.markets' ([Errno 8] nodename nor servname provided, or not known)"))
10:08:56 | ERROR    | celo_trader.broker | alpaca_get_failed
10:08:56 | WARNING  | celo_trader.broker | alpaca_http_get
10:08:56 | WARNING  | celo_trader.broker | alpaca_http_get
